SalesOrderID,OrderDate,DueDate,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID
43659,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43659,PO522145787,10-4020-000676,29825
43660,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43660,PO18850127500,10-4020-000117,29672
43661,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43661,PO18473189620,10-4020-000442,29734
43662,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43662,PO18444174044,10-4020-000227,29994
43663,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43663,PO18009186470,10-4020-000510,29565
43664,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43664,PO16617121983,10-4020-000397,29898
43665,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43665,PO16588191572,10-4020-000146,29580
43666,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43666,PO16008173883,10-4020-000511,30052
43667,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43667,PO15428132599,10-4020-000646,29974
43668,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43668,PO14732180295,10-4020-000514,29614
43669,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43669,PO14123169936,10-4020-000578,29747
43670,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43670,PO14384116310,10-4020-000504,29566
43671,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43671,PO13978119376,10-4020-000200,29890
43672,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43672,PO13862153537,10-4020-000119,30067
43673,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43673,PO13775141242,10-4020-000618,29844
43674,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43674,PO12760141756,10-4020-000083,29596
43675,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43675,PO12412186464,10-4020-000670,29827
43676,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43676,PO11861165059,10-4020-000017,29811
43677,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43677,PO11049174786,10-4020-000679,29824
43678,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43678,PO10817150168,10-4020-000203,29889
43679,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43679,PO10527142759,10-4020-000480,29761
43680,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43680,PO10730130087,10-4020-000491,29489
43681,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43681,PO1189177803,10-4020-000423,29661
43682,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43682,PO1566124200,10-4020-000486,29759
43683,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43683,PO2552113807,10-4020-000506,29497
43684,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43684,PO3393188842,10-4020-000549,29912
43685,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43685,PO4176124783,10-4020-000458,30084
43686,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43686,PO5075125561,10-4020-000344,29606
43687,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43687,PO4959110829,10-4020-000269,29610
43688,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43688,PO5365136389,10-4020-000161,29718
43689,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43689,PO5626159507,10-4020-000166,29646
43690,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43690,PO6235146326,10-4020-000431,29533
43691,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43691,PO6409111675,10-4020-000292,29570
43692,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43692,PO7859187017,10-4020-000221,29992
43693,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43693,PO8120182325,10-4020-000485,29491
43694,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43694,PO9657130250,10-4020-000315,29549
43695,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43695,PO10179176559,10-4020-000027,29958
43696,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43696,PO9947131800,10-4020-000603,29849
43697,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43697,,10-4030-021768,21768
43698,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43698,,10-4030-028389,28389
43699,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43699,,10-4030-025863,25863
43700,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43700,,10-4030-014501,14501
43701,2011-05-31 00:00:00,2011-06-12 00:00:00,SO43701,,10-4030-011003,11003
43702,2011-06-01 00:00:00,2011-06-13 00:00:00,SO43702,,10-4030-027645,27645
43703,2011-06-01 00:00:00,2011-06-13 00:00:00,SO43703,,10-4030-016624,16624
43704,2011-06-01 00:00:00,2011-06-13 00:00:00,SO43704,,10-4030-011005,11005
43705,2011-06-01 00:00:00,2011-06-13 00:00:00,SO43705,,10-4030-011011,11011
43706,2011-06-02 00:00:00,2011-06-14 00:00:00,SO43706,,10-4030-027621,27621
43707,2011-06-02 00:00:00,2011-06-14 00:00:00,SO43707,,10-4030-027616,27616
43708,2011-06-02 00:00:00,2011-06-14 00:00:00,SO43708,,10-4030-020042,20042
43709,2011-06-02 00:00:00,2011-06-14 00:00:00,SO43709,,10-4030-016351,16351
43710,2011-06-02 00:00:00,2011-06-14 00:00:00,SO43710,,10-4030-016517,16517
43711,2011-06-03 00:00:00,2011-06-15 00:00:00,SO43711,,10-4030-027606,27606
43712,2011-06-03 00:00:00,2011-06-15 00:00:00,SO43712,,10-4030-013513,13513
43713,2011-06-04 00:00:00,2011-06-16 00:00:00,SO43713,,10-4030-027601,27601
43714,2011-06-04 00:00:00,2011-06-16 00:00:00,SO43714,,10-4030-013591,13591
43715,2011-06-04 00:00:00,2011-06-16 00:00:00,SO43715,,10-4030-016483,16483
43716,2011-06-04 00:00:00,2011-06-16 00:00:00,SO43716,,10-4030-016529,16529
43717,2011-06-04 00:00:00,2011-06-16 00:00:00,SO43717,,10-4030-025249,25249
43718,2011-06-05 00:00:00,2011-06-17 00:00:00,SO43718,,10-4030-027668,27668
43719,2011-06-05 00:00:00,2011-06-17 00:00:00,SO43719,,10-4030-027612,27612
43720,2011-06-05 00:00:00,2011-06-17 00:00:00,SO43720,,10-4030-013264,13264
43721,2011-06-05 00:00:00,2011-06-17 00:00:00,SO43721,,10-4030-013590,13590
43722,2011-06-06 00:00:00,2011-06-18 00:00:00,SO43722,,10-4030-013581,13581
43723,2011-06-06 00:00:00,2011-06-18 00:00:00,SO43723,,10-4030-014520,14520
43724,2011-06-06 00:00:00,2011-06-18 00:00:00,SO43724,,10-4030-016520,16520
43725,2011-06-07 00:00:00,2011-06-19 00:00:00,SO43725,,10-4030-013258,13258
43726,2011-06-07 00:00:00,2011-06-19 00:00:00,SO43726,,10-4030-014560,14560
43727,2011-06-07 00:00:00,2011-06-19 00:00:00,SO43727,,10-4030-016607,16607
43728,2011-06-08 00:00:00,2011-06-20 00:00:00,SO43728,,10-4030-027666,27666
43729,2011-06-08 00:00:00,2011-06-20 00:00:00,SO43729,,10-4030-011238,11238
43730,2011-06-08 00:00:00,2011-06-20 00:00:00,SO43730,,10-4030-025861,25861
43731,2011-06-08 00:00:00,2011-06-20 00:00:00,SO43731,,10-4030-016629,16629
43732,2011-06-08 00:00:00,2011-06-20 00:00:00,SO43732,,10-4030-011025,11025
43733,2011-06-08 00:00:00,2011-06-20 00:00:00,SO43733,,10-4030-027577,27577
43734,2011-06-09 00:00:00,2011-06-21 00:00:00,SO43734,,10-4030-027604,27604
